HP_diff,Attack_diff,Defense_diff,Sp. Atk_diff,Sp. Def_diff,Speed_diff,stats_sum_diff,First_win,First_pokemon_Legendary,Second_pokemon_Legendary
23,28,73,1,14,20,159,1,0,0
36,95,15,99,35,60,340,1,1,0
-6,145,25,73,33,35,305,1,0,0
-45,0,25,65,30,5,80,1,0,0
20,50,20,-10,-10,-5,65,0,0,0
-15,-15,-10,15,25,12,12,1,0,0
-20,25,80,55,90,50,280,1,0,0
28,45,30,10,15,-8,120,0,0,0
-10,15,10,-20,10,-80,-75,0,0,0
-10,-35,-32,-20,-15,-45,-157,0,0,0
20,45,40,45,60,-5,205,0,1,0
-2,-38,-3,-33,-21,0,-97,0,0,0
45,-15,33,-5,5,-28,35,0,0,0
55,-10,-60,-20,-65,10,-90,1,0,0
-2,24,43,-12,-21,32,64,1,0,0
70,15,-5,65,25,70,240,1,1,0
25,0,-52,-40,-52,-17,-136,0,0,0
-25,-60,-50,-34,-24,-80,-273,0,0,0
-50,-35,29,5,4,24,-23,0,0,0
-21,-42,-53,47,20,22,-27,1,0,0
26,98,35,89,20,62,330,1,1,0
-41,-40,44,-80,44,-27,-100,0,0,1
-16,-34,0,-61,-20,6,-125,1,0,0
5,-8,2,-10,2,-17,-26,0,0,0
35,105,59,10,60,31,300,1,0,0
-40,-61,-25,5,-15,-40,-176,0,0,0
20,-25,15,0,50,-25,35,0,0,0
-5,-47,40,-39,-10,-15,-76,0,0,0
-65,-79,-75,-45,-55,-26,-345,0,0,0
-6,-130,71,-156,66,-140,-295,0,0,1
-48,-61,-40,-103,-37,-49,-338,0,0,1
4,39,76,-26,56,-25,124,1,0,0
0,11,35,38,25,-19,90,0,0,0
-35,40,5,-50,-70,-20,-130,1,0,0
-25,-5,-40,-35,-40,15,-130,1,0,1
10,4,5,15,5,-42,-3,0,0,0
10,14,21,-9,9,-25,20,0,0,0
-1,-11,0,127,50,112,277,1,0,0
-30,-5,25,-35,-25,-55,-125,0,0,1
-42,-20,30,-20,-45,-18,-115,0,0,0
15,75,22,-10,-5,65,162,1,0,0
-51,-22,-22,-49,-39,21,-162,1,0,0
-57,-69,-40,-20,-15,15,-186,1,0,0
85,55,-15,-25,30,-15,115,0,0,0
11,-51,-49,39,-19,3,-66,1,0,0
27,75,65,-1,21,23,210,1,0,0
-34,-51,-33,-86,-76,-45,-325,0,0,0
-66,-70,-35,-114,-20,-75,-380,0,0,1
28,18,-40,3,-11,12,10,1,0,0
-10,-25,0,25,15,-30,-25,0,0,0
-43,23,128,-49,8,-8,59,0,1,0
6,-14,-6,14,-14,21,7,1,0,0
26,38,77,25,20,-5,181,0,0,0
20,15,75,-55,25,-5,75,0,0,0
-56,-51,-30,-41,-33,-14,-225,0,0,1
45,55,20,25,55,5,205,1,0,0
-26,-9,-45,-84,-45,-63,-272,0,0,0
-8,-66,-30,-11,-30,-50,-195,0,0,0
-4,35,-15,67,-13,-5,65,0,0,0
-1,-11,-2,-10,-1,-12,-37,0,0,0
-26,-45,-17,24,-7,10,-61,1,0,0
-70,-115,-110,0,-55,-10,-360,0,0,1
40,115,118,55,58,45,431,1,0,0
-10,-13,-5,-5,-5,30,-8,1,0,0
-45,0,-28,10,-8,36,-35,0,0,0
-27,36,40,28,27,134,238,1,1,0
41,17,53,95,54,-13,247,0,0,0
-29,-21,-11,-14,-16,16,-75,1,0,0
45,65,50,45,-10,15,210,1,0,0
-33,19,40,-42,-81,1,-96,1,0,1
-30,-60,-70,-114,-74,50,-298,1,0,0
-105,35,55,-35,25,25,0,1,0,0
0,10,10,-25,-5,-25,-35,0,0,0
-30,-22,-102,-22,-102,14,-264,1,0,1
-10,-16,-17,14,6,13,-10,1,0,0
-73,-12,35,6,15,28,-1,1,0,0
-28,-15,38,-50,-28,-57,-140,0,0,0
-40,-5,-28,-38,-35,-16,-162,0,0,0
20,-24,0,10,0,-6,0,0,0,0
-5,-20,25,95,35,45,175,1,1,0
-19,44,-4,19,-19,63,84,1,0,0
4,110,-70,18,-67,35,30,1,0,0
-100,0,25,-5,20,20,-40,1,0,0
-20,-45,30,-15,-15,25,-40,0,0,0
20,73,67,15,10,10,195,1,0,0
-15,-25,-15,-95,-5,35,-120,1,0,0
-43,-40,7,-85,-60,-68,-289,0,0,0
-3,17,5,22,5,89,135,1,0,0
10,-6,66,86,39,-20,175,0,0,0
-10,-15,-5,40,40,40,90,1,1,0
1,76,0,115,0,25,217,1,0,0
44,117,45,98,48,46,398,1,1,0
12,10,5,0,5,-37,-5,0,0,0
-107,-80,-35,-45,-30,-65,-362,0,0,0
-3,-53,-125,17,-5,64,-105,0,0,0
-25,-30,-50,-65,-75,-45,-290,0,0,1
-65,-105,50,-65,-65,0,-250,0,0,0
10,23,-40,-62,-30,-66,-165,1,0,0
53,59,37,93,34,90,366,1,1,0
-65,-8,12,-26,14,-2,-75,0,0,0
31,32,22,44,39,4,172,1,0,0
-20,90,13,80,-5,82,240,1,0,0
-9,-12,-33,69,-4,6,17,1,0,0
25,1,-21,-55,-30,-25,-105,0,0,0
-40,-20,15,-45,-10,-55,-155,0,0,0
25,64,20,5,-50,1,65,0,0,0
-12,4,-17,-23,0,-37,-85,0,0,0
90,-67,-42,-67,-42,-67,-195,0,0,0
22,-10,16,25,-45,32,40,1,0,0
32,0,35,30,50,28,175,1,0,0
30,25,30,20,30,20,155,1,0,0
-12,-40,-35,116,9,62,100,1,0,0
-15,-45,-87,-8,25,-29,-159,0,0,0
50,100,-155,135,-145,140,125,1,0,0
-31,-15,-55,35,-59,-70,-195,0,0,1
36,85,60,85,60,64,390,1,0,0
15,60,-7,-50,-37,-1,-20,0,0,0
14,45,-40,15,-15,36,55,1,1,0
5,-25,-10,-5,50,55,70,0,0,0
-34,2,-31,-13,-36,-34,-146,0,0,0
-46,-12,13,-37,-55,-88,-225,0,0,1
12,-30,5,15,5,-17,-10,0,0,0
20,40,40,40,40,35,215,1,0,0
33,45,-13,37,6,38,146,1,0,0
1,-32,-17,70,49,39,110,1,0,0
-60,-85,-25,-60,-55,-55,-340,0,0,1
-6,40,15,23,20,66,158,1,0,0
56,26,56,94,45,88,365,1,0,0
-71,-17,20,15,15,-12,-50,0,0,1
-16,-19,-2,-44,-2,-31,-114,0,0,0
-19,0,10,25,20,-31,5,0,0,0
20,-10,-40,-40,-75,45,-100,1,0,1
-25,-40,-75,-60,-40,-10,-250,0,0,1
-10,-50,-38,25,-8,1,-80,0,0,0
4,-24,-21,-64,-21,-83,-209,0,0,0
-66,-82,-15,-20,4,-37,-216,0,0,0
-20,5,-23,30,5,-37,-40,0,0,0
19,45,0,15,0,36,115,1,0,0
-45,-15,-15,-25,5,55,-40,0,0,0
-10,-40,-25,-45,-35,-80,-235,0,0,0
-35,-10,5,10,-59,9,-80,1,0,1
20,20,10,55,15,75,195,1,0,0
-32,-66,-69,-33,-29,-28,-257,0,0,0
55,60,10,10,25,8,168,1,0,0
-16,-6,-46,-56,-16,-35,-175,0,0,0
50,25,45,-10,30,10,150,1,0,0
0,10,-18,-35,-20,-12,-75,0,0,0
-40,80,55,70,-5,25,185,1,0,0
2,35,-21,0,-31,-52,-67,1,0,0
60,20,-12,-25,-12,-36,-5,0,0,0
25,-15,-95,25,45,-20,-35,0,0,0
45,60,-15,5,-15,0,80,0,0,0
-30,-20,-15,78,15,27,55,1,0,0
-30,-30,-25,50,-20,5,-50,1,0,0
35,-35,-80,-55,-25,-70,-230,0,0,0
-43,17,3,-11,-1,16,-19,1,0,0
46,69,10,66,25,49,265,1,0,0
18,44,3,99,40,20,224,1,0,0
10,5,-35,50,15,45,90,1,0,0
-15,-20,-60,-55,-5,5,-150,1,0,0
-15,-15,42,70,42,26,150,1,0,0
15,85,25,47,20,60,252,1,0,0
-25,-10,5,-5,10,-60,-85,0,0,0
-30,-45,7,-58,-3,-59,-188,0,0,0
-55,22,-13,42,7,47,50,1,0,0
-50,-40,-45,-25,-55,-15,-230,0,0,0
7,35,40,-27,-3,-5,47,0,0,0
40,75,35,80,25,30,285,1,0,0
-21,-115,-20,-135,-90,-49,-430,0,0,1
-39,38,-3,10,5,65,76,1,0,0
22,60,65,45,5,-37,160,0,0,0
68,5,46,10,36,-40,125,0,0,0
-9,-30,-55,-95,-55,140,-104,1,0,0
40,25,-15,5,13,12,80,0,0,0
11,-60,-120,50,86,70,37,0,0,0
0,22,33,-8,-5,-13,29,0,0,0
-30,45,30,-35,-35,-10,-35,0,0,0
-15,-9,-10,10,-10,52,18,1,0,0
5,-35,-55,10,15,10,-50,1,0,0
10,-75,-65,-40,-55,-70,-295,0,0,0
30,45,45,-2,-5,-5,108,0,0,0
-3,17,2,-30,5,17,8,1,0,0
15,85,180,-20,10,-65,205,1,0,0
10,0,0,25,0,55,90,1,0,0
45,80,50,25,20,-5,215,0,0,0
-73,-63,-18,-51,-19,-50,-274,0,0,1
-9,-32,23,60,14,-71,-15,0,0,0
-64,-26,-23,-11,-33,-3,-160,0,0,0
15,-12,15,-38,35,50,65,1,0,0
30,0,70,35,100,45,280,1,1,0
25,-30,-65,28,-35,10,-67,1,0,0
6,-17,-32,35,19,-1,10,0,0,0
22,-18,-22,13,7,-12,-10,0,0,0
-2,70,-5,-25,-25,43,56,1,0,0
64,89,10,-40,25,10,158,1,0,0
-63,-25,-56,60,-16,55,-45,1,0,0
35,33,-47,-1,0,-4,16,0,0,0
42,20,35,60,25,8,190,1,0,0
-10,35,40,55,40,105,265,1,1,0
-40,-5,2,35,2,61,55,0,0,0
-5,-41,-5,35,-5,-34,-55,0,0,0
-75,15,10,90,-10,60,90,1,0,0
0,30,30,-20,-5,-5,30,0,0,0
-40,-65,-11,-85,-31,-33,-265,0,0,0
0,-40,30,10,-5,0,-5,0,0,0
-21,3,19,-47,13,-60,-93,0,0,0
-20,-87,-27,-22,-32,-15,-203,0,0,0
75,-15,-10,-90,10,-60,-90,0,0,0
10,54,-30,34,5,26,99,1,0,0
50,35,30,75,20,0,210,0,0,0
15,-18,-34,50,80,74,167,1,0,0
5,-60,25,15,25,75,85,0,1,0
20,20,25,30,25,20,140,1,0,0
-15,27,45,-3,15,-56,13,0,0,0
-18,-25,25,-15,-20,-67,-120,0,0,0
-15,10,4,-20,55,-9,25,0,0,0
-15,-13,5,13,-15,-55,-80,0,0,0
-5,15,5,15,-10,15,35,1,0,0
-8,-17,-65,34,-36,38,-54,1,0,0
-18,-7,-40,-3,-36,13,-91,1,0,0
-36,-35,20,-75,-41,-85,-252,0,0,0
4,18,-8,-7,-33,-4,-30,0,0,0
45,85,2,85,65,13,295,1,0,0
22,-23,-19,15,11,10,16,1,0,0
-3,41,29,-36,-36,11,6,1,0,0
10,5,25,45,45,90,220,1,0,0
-66,-110,-15,-154,-50,-85,-480,0,0,1
27,35,32,50,48,18,210,1,0,0
20,-7,15,7,15,5,55,1,1,0
13,55,-10,25,-25,10,68,1,0,0
-35,-5,-20,50,-20,55,25,1,0,0
91,17,47,64,44,-66,197,1,0,0
-53,-94,-50,-45,-65,-73,-380,0,0,1
-6,-3,-60,-35,-55,-13,-172,0,0,0
65,-60,-45,-60,-45,-35,-180,0,0,1
7,30,20,0,30,-22,65,0,0,0
15,-25,-57,20,-47,-56,-150,0,0,0
-20,-70,0,-45,5,-35,-165,0,0,1
35,13,-47,62,0,43,106,1,1,0
30,9,32,44,50,59,224,1,0,0
-25,15,-26,-5,-36,-40,-117,0,0,0
34,13,20,50,40,43,200,1,0,0
6,-28,-32,71,15,54,86,1,0,0
-20,-32,-78,-27,-7,24,-140,1,0,0
35,-50,27,62,-30,36,80,1,0,0
-40,-45,-11,-30,-21,-13,-160,0,0,0
-9,31,-71,41,-56,85,21,1,0,0
0,-7,-7,10,11,17,24,0,0,0
-40,-70,-88,-72,-50,-25,-345,0,0,0
60,-65,-35,-20,25,-30,-65,0,0,0
20,40,45,45,45,15,210,1,0,0
-60,-3,-12,-65,45,22,-73,1,0,0
-50,-30,-25,10,30,15,-50,1,0,0
35,-35,-70,-65,-105,-90,-330,0,0,1
14,35,9,15,9,-22,60,0,0,0
-70,-35,-55,0,-40,20,-180,1,0,0
-10,73,-10,53,-10,-48,48,0,0,0
28,5,-3,6,13,57,106,1,0,0
-16,-4,18,-49,-2,4,-49,1,0,0
15,12,46,42,36,74,225,1,0,0
-40,15,-10,25,-5,-10,-25,0,0,0
-10,-66,-10,-76,-80,-14,-256,0,0,1
-23,-81,21,-36,11,-107,-215,0,0,0
-10,45,30,-65,5,-45,-40,0,0,0
-18,-5,13,-12,-6,6,-22,1,0,0
15,91,80,22,5,4,217,1,0,0
-19,2,-10,-65,-30,17,-105,1,0,0
-31,37,-3,49,9,51,112,1,1,0
1,-8,8,-13,13,34,35,1,0,0
10,0,45,-70,-20,-85,-120,0,0,0
-6,-25,13,-2,28,12,20,1,0,0
195,-15,-30,15,60,-25,200,0,0,0
36,34,57,29,-26,0,130,0,0,0
-35,-45,19,-15,-41,-18,-135,0,0,0
-50,-45,10,10,55,-48,-68,0,0,0
9,10,-16,20,34,13,70,1,1,1
-18,-23,-23,6,-2,3,-57,1,0,0
30,85,25,95,55,85,375,1,0,0
-37,19,-14,-16,-29,26,-51,1,0,0
15,-15,-75,-15,-85,80,-95,0,0,0
15,50,30,65,35,-35,160,0,0,0
-15,-30,90,-5,-25,22,37,1,0,0
31,14,-89,87,52,71,166,1,1,0
58,120,56,115,65,20,434,1,0,0
16,74,52,-11,72,57,260,1,0,0
-10,-26,-20,24,40,30,38,1,0,0
-51,-27,-55,-64,-35,-38,-270,0,0,0
25,70,95,10,-35,25,190,1,0,0
80,0,-47,5,-12,-21,5,0,0,0
14,-15,-11,-32,2,-21,-63,0,0,0
-65,-113,0,-23,-35,-59,-295,0,0,0
-8,0,15,45,-20,50,82,1,0,0
35,65,90,-5,5,40,230,1,0,0
-15,-25,-5,25,5,45,30,1,0,0
-10,61,34,-29,36,75,167,1,0,0
0,35,10,-25,-5,45,60,1,0,0
17,89,0,-46,40,95,195,1,0,0
-25,-40,40,0,20,-55,-60,0,0,0
0,21,-31,-46,56,45,45,1,0,0
34,16,-72,41,-59,-30,-70,0,0,1
25,20,-55,70,-25,65,100,1,1,0
205,-44,-60,-14,40,5,132,1,0,0
-60,-120,-45,-145,-100,-30,-500,0,0,1
35,25,-1,45,3,23,130,0,0,0
-45,-105,-160,35,-25,-5,-305,0,0,0
40,15,31,35,21,20,162,1,0,0
-1,-15,-35,-25,-35,-49,-160,0,0,0
-100,95,115,65,15,40,230,0,1,0
12,20,59,30,55,-1,175,0,0,0
28,60,35,10,5,52,190,1,0,0
-11,-14,-27,-9,-24,0,-85,0,0,0
-10,-5,40,-20,-50,-50,-95,0,0,0
20,20,30,-10,30,45,135,1,0,0
0,-40,1,30,31,10,32,1,0,0
-39,-3,-23,58,-12,59,40,1,0,0
-5,20,55,-95,-55,-90,-170,1,0,0
-55,-110,-69,-5,-90,-16,-345,0,0,0
10,10,55,95,55,30,255,1,0,0
0,-25,3,-5,3,32,8,1,0,0
-10,10,48,10,48,89,195,0,1,0
15,-10,8,-5,-67,-26,-85,0,0,0
-30,-10,-30,-75,-35,-50,-230,0,0,0
17,20,20,-125,-85,-60,-213,0,0,0
-126,-42,20,-40,19,-17,-186,0,0,0
-6,-70,-58,10,28,-28,-124,0,0,0
35,46,-26,1,15,45,116,1,0,0
-17,-69,-12,16,-29,-85,-196,0,0,0
18,65,10,140,110,70,413,1,0,0
15,35,75,-90,-25,-130,-120,1,0,0
26,40,50,54,30,-15,185,0,1,0
17,30,35,20,5,68,175,1,0,0
-3,5,-15,-45,-20,8,-70,1,0,0
-58,-20,78,-57,-11,2,-66,1,0,0
-10,0,5,35,35,30,95,0,0,0
-2,-5,5,2,-2,-30,-32,0,0,0
-16,45,20,58,50,66,223,1,0,0
-36,-107,-50,-117,-50,-70,-430,0,0,1
19,25,-5,10,5,6,60,1,1,0
-60,-8,-27,-49,-39,21,-162,0,0,0
0,14,-10,-5,-10,21,10,1,0,0
30,110,58,20,0,7,225,1,0,0
-35,-48,-5,-25,10,25,-78,1,0,0
-8,2,-18,-85,-38,-70,-217,0,0,0
10,61,-25,43,25,47,161,1,0,0
15,10,-30,-33,5,15,-18,1,0,0
39,60,75,70,50,-70,224,1,1,0
61,-18,40,90,41,12,226,1,0,0
-7,70,-5,-30,-50,10,-12,1,0,0
55,-17,-30,-17,-35,-20,-64,0,0,0
-91,25,25,35,35,51,80,1,1,0
15,38,13,18,3,76,163,1,0,0
-25,30,150,-10,0,0,145,0,0,0
-15,-30,-63,55,7,21,-25,1,0,0
-28,-105,-83,-85,-30,-85,-416,0,0,0
-30,-25,0,-25,0,0,-80,0,0,1
-25,-30,-40,-5,-35,-95,-230,0,0,0
-20,-15,35,-50,-25,-55,-130,0,0,0
17,-40,-5,45,25,20,62,1,0,0
-25,20,45,-65,10,0,-15,0,0,0
-15,0,-60,22,-27,-6,-86,0,0,1
-10,-10,45,70,30,25,150,1,1,0
12,-40,32,14,5,-33,-10,0,0,0
-13,-52,-43,-18,3,43,-80,0,0,0
15,-20,15,15,15,83,123,0,0,0
6,32,2,9,-8,-3,38,0,0,0
25,-13,-4,45,6,-35,24,0,0,0
-15,-90,-15,-55,-10,-15,-200,0,1,1
43,64,13,69,20,80,289,1,0,0
-50,-80,-45,-75,-75,-70,-395,0,0,1
30,17,19,56,52,37,211,1,0,0
-14,-23,20,-95,-45,-8,-165,0,0,0
22,30,35,100,65,18,270,1,1,0
30,0,31,35,56,8,160,1,1,0
6,19,-47,-41,-57,2,-118,1,0,0
-22,-44,-10,-61,-17,-56,-210,0,0,0
25,0,-10,-55,-50,-45,-135,0,0,0
-20,-20,-20,-15,-10,-20,-105,0,0,0
27,45,-20,-5,-5,33,75,1,0,0
15,20,25,125,40,67,292,1,0,0
-25,0,92,-10,47,-42,62,0,0,0
-60,-100,-35,-75,-25,-65,-360,0,0,1
75,60,-60,20,10,20,125,1,0,0
-10,20,90,-10,80,-50,120,0,1,0
6,44,48,139,85,75,397,1,0,0
-60,-55,-5,30,40,35,-15,0,0,0
-10,-35,-51,-85,-56,40,-197,1,0,0
10,-40,-10,35,20,-35,-20,0,0,0
20,-15,-40,-70,-15,-30,-150,0,0,0
30,45,18,15,18,41,167,1,0,0
30,-35,10,0,10,0,15,0,0,0
30,75,80,-5,30,-15,195,0,1,0
7,28,-3,38,30,60,160,1,0,0
-23,-27,-51,-8,20,-28,-117,0,0,1
-10,54,31,-4,-46,-30,-5,0,0,0
14,-13,-19,10,0,-16,-24,0,0,0
25,69,-17,-26,-39,-7,5,0,0,0
-15,-35,-25,-35,-50,-45,-205,0,0,0
10,60,5,10,50,95,230,1,0,0
-24,9,7,-21,7,-8,-30,0,0,0
21,14,-20,-4,-5,-16,-10,0,0,0
-21,65,70,-42,8,-16,64,0,0,0
45,40,26,20,16,40,187,1,0,0
61,-45,70,77,72,10,245,1,0,0
-10,-30,-45,-25,5,-55,-160,0,0,0
75,35,70,65,70,55,370,1,1,0
-15,28,-7,15,-7,-27,-13,0,0,0
9,4,5,38,36,-6,86,0,0,0
-6,-10,42,83,33,28,170,1,0,0
5,35,-25,30,-45,-10,-10,0,0,0
-25,2,20,-15,0,30,12,1,0,0
5,28,59,-22,-5,24,89,1,0,0
4,3,28,33,25,12,105,1,0,0
-5,75,65,10,-5,30,170,1,0,0
-46,-30,-99,-10,-22,-43,-250,0,0,1
11,-30,-8,15,-60,73,1,1,0,0
-20,-40,7,35,17,21,20,0,0,0
30,38,28,43,-7,-16,116,0,0,0
27,24,-5,42,38,31,157,1,0,0
37,80,50,-10,50,28,235,1,0,0
20,-10,10,-5,-5,-20,-10,0,0,0
-30,-10,-30,-5,25,75,25,0,0,0
-24,27,-65,-85,-30,2,-175,1,0,0
45,40,30,50,25,70,260,1,1,0
-10,-20,-5,20,15,15,15,1,0,0
-5,5,-5,100,10,95,200,1,0,0
-10,-27,50,5,0,-33,-15,0,0,0
-16,-54,-25,-35,-25,10,-145,1,0,0
-5,-12,3,-15,-15,-26,-70,0,0,0
0,5,10,49,9,-5,68,0,0,0
53,35,26,-14,50,10,160,1,1,0
-15,-25,-37,-15,-47,-4,-143,0,0,0
29,50,18,70,28,56,251,1,1,0
-15,-15,20,-15,20,-30,-35,0,0,0
-115,62,9,92,37,50,135,1,0,0
23,-20,90,50,50,5,198,1,0,0
42,50,51,35,5,17,200,1,0,0
30,45,70,-5,35,30,205,1,0,0
35,35,55,45,55,50,275,1,0,0
-40,7,-3,-16,-1,-10,-63,0,0,0
-23,-18,-27,-61,-65,-44,-238,0,0,0
40,-10,30,-35,0,-25,0,0,0,1
29,33,73,43,35,-18,195,0,0,0
-5,20,0,0,-15,60,60,1,0,0
-40,-90,-90,-114,-44,-40,-418,0,0,1
7,4,56,-6,56,-22,95,0,0,0
-36,30,-15,-37,-25,36,-47,1,0,0
-41,-6,-19,-11,-14,36,-55,1,0,0
8,-5,-15,-13,-30,-25,-80,0,0,0
20,23,60,50,20,-3,170,0,0,0
2,9,-60,-16,0,6,-59,1,0,0
-25,-25,35,10,-5,-25,-35,0,0,0
-35,-31,-15,-31,-15,-35,-162,0,0,0
-8,-10,5,19,2,24,32,1,0,0
72,99,22,18,29,31,271,1,0,0
50,55,40,30,20,15,210,1,0,0
-9,5,-95,-35,-20,140,-14,0,0,0
8,5,5,-8,0,19,29,1,0,0
15,15,3,50,45,-23,105,0,1,0
17,85,50,25,5,-17,165,0,0,0
5,20,0,60,30,15,130,1,0,0
-5,-66,-58,19,10,34,-66,1,0,0
-35,30,50,38,35,10,128,1,0,0
51,99,60,17,60,23,310,1,1,0
46,40,25,29,-15,40,165,1,1,0
-16,-79,-77,-49,-57,-42,-320,0,0,1
6,77,-1,-43,14,-19,34,0,0,0
20,19,0,14,45,6,104,1,0,0
-24,2,-17,-43,-7,-11,-100,0,0,0
-21,-25,-12,0,-54,-18,-130,0,0,1
31,16,13,56,45,29,190,1,0,0
5,65,125,25,15,-35,200,0,0,0
20,-86,30,-86,30,-84,-176,0,0,1
22,59,0,34,0,45,160,1,0,0
0,-16,55,39,50,-32,96,0,0,0
-10,2,-8,-30,-10,-34,-90,0,0,0
-1,-18,5,22,-20,-3,-15,0,0,0
15,12,0,48,50,70,195,1,0,0
-27,-34,-65,15,0,-20,-131,0,0,0
25,55,35,30,30,65,240,1,0,0
-25,-35,-45,20,5,75,-5,1,0,0
-55,-125,-77,-20,-78,-16,-371,0,0,0
10,100,65,-20,35,75,265,1,0,0
5,10,20,25,5,-10,55,0,0,0
-41,40,4,60,8,74,145,1,0,0
5,-30,-33,-7,-33,-3,-101,0,0,0
20,30,15,58,35,45,203,1,0,0
19,-17,41,23,51,19,136,1,0,0
155,20,55,5,0,-30,205,1,0,0
-17,-30,-30,-42,-30,-38,-187,0,0,0
-7,11,0,21,0,-25,0,0,0,0
-20,-15,25,35,75,55,155,1,0,0
-54,-31,-18,9,7,-3,-90,0,0,0
25,25,15,5,35,50,155,1,0,0
25,68,50,33,45,66,287,1,0,0
32,22,15,42,0,64,175,1,0,0
25,50,81,0,31,-35,152,0,0,0
-54,-115,-35,-100,-25,-56,-385,0,0,1
-30,-95,-35,-80,-25,-50,-315,0,0,0
31,38,27,0,10,5,111,1,0,0
15,60,27,10,48,6,166,1,0,0
-45,-87,-30,-70,-20,-48,-300,0,0,1
50,18,13,41,36,30,188,0,0,0
-4,34,-2,-28,-23,13,-10,1,0,0
21,27,34,17,-1,-74,24,0,0,0
-25,-37,-41,-60,-50,-49,-262,0,0,1
-20,0,-4,-30,-25,4,-75,1,0,0
5,-35,-15,20,65,60,100,1,0,0
-5,-80,-30,-65,35,50,-95,1,0,0
40,75,40,10,-5,40,200,1,0,0
15,-62,-74,38,32,69,18,0,0,0
5,-14,-30,-45,-20,-83,-187,0,0,1
-10,-40,-10,-15,5,10,-60,1,0,0
23,56,-35,1,-5,20,60,1,0,0
-91,-50,50,-50,-16,-65,-222,0,0,0
62,-40,15,20,-20,-20,17,0,0,0
41,55,74,65,47,93,375,1,1,0
-1,-9,0,13,37,-21,19,0,0,0
70,70,58,70,58,30,356,1,0,0
-10,20,95,-15,-40,-45,5,0,0,0
5,50,75,30,45,15,220,1,0,0
65,48,23,11,21,15,183,1,0,0
39,10,-25,65,55,30,174,1,0,0
-3,9,14,-1,14,-7,26,0,0,0
15,20,-50,0,-55,73,3,1,0,0
21,72,52,74,54,39,312,1,0,0
65,0,75,85,75,-30,270,0,0,0
-68,-70,-71,-26,-40,5,-270,1,0,1
-5,10,-35,20,-25,35,0,1,0,0
10,-55,-10,-35,-45,-140,-275,0,0,1
-19,10,62,50,52,71,226,1,0,0
25,80,40,40,0,50,235,1,0,0
25,33,28,40,40,39,205,1,0,0
0,40,-10,60,30,0,120,0,1,0
-35,-24,-7,-14,20,-14,-74,0,0,0
-5,10,15,35,25,35,115,1,0,0
40,-20,5,25,5,-18,37,0,0,0
-19,1,-13,-40,-53,-32,-156,0,0,0
55,27,22,53,63,60,280,1,0,0
10,-55,-85,30,-20,45,-75,1,0,0
-10,5,47,70,72,56,240,1,0,0
43,5,35,-15,25,-3,90,0,0,0
65,100,40,15,-5,-10,205,0,0,0
-8,0,43,9,39,-32,51,0,0,0
-2,42,86,-13,-10,-28,75,0,0,0
-57,-81,-7,-13,-19,-43,-220,0,0,0
-6,28,-20,4,-25,0,-19,0,0,0
-3,-8,7,64,49,64,173,1,0,0
40,40,40,15,15,15,165,1,1,0
18,-1,9,49,16,23,114,1,0,0
40,40,30,40,10,25,185,1,0,0
-13,41,22,-54,-15,-15,-34,0,0,0
-2,7,11,-15,5,-57,-51,0,0,0
25,27,5,43,-15,-5,80,0,0,0
10,15,65,5,75,-22,148,0,0,0
44,18,13,85,25,10,195,1,1,0
-9,-15,-7,37,22,17,45,1,0,0
8,47,10,-11,33,41,128,1,0,0
-50,-105,-80,-35,-85,-50,-405,0,0,0
35,23,0,20,-10,17,85,1,0,0
9,13,10,75,40,-17,130,0,0,0
-65,-35,115,65,-30,0,50,0,0,0
43,75,40,65,40,7,270,1,0,0
0,-34,-26,0,-35,10,-85,1,0,0
-15,-86,-54,-4,-56,-71,-286,0,0,0
-10,25,-15,-30,-15,-93,-138,1,0,0
-50,-75,-50,-80,-60,-45,-360,0,0,0
5,75,-2,-10,55,24,147,1,0,0
10,18,-10,38,55,11,122,0,0,0
35,65,25,5,5,11,146,1,0,0
30,15,22,80,62,28,237,1,0,0
-12,31,65,-22,52,12,126,1,0,0
-15,-33,8,37,38,-50,-15,0,0,0
-3,12,-53,-84,-42,-17,-187,0,0,0
0,35,-110,35,-110,-15,-165,0,0,0
-9,-2,-20,1,-5,0,-35,0,0,0
-26,-102,-45,-25,-35,-47,-280,0,0,0
-50,-10,-70,-120,-60,20,-290,1,0,0
40,104,100,55,70,-4,365,0,0,0
1,44,10,-10,-10,5,40,1,0,0
-25,-30,-30,-20,0,42,-63,1,0,0
-10,22,58,-8,58,-30,90,0,0,0
54,125,25,65,15,71,355,1,1,0
125,10,-55,55,8,32,175,0,0,0
-185,55,50,15,-60,35,-90,1,0,0
37,90,35,60,15,65,302,1,1,0
-7,-61,-42,25,-5,-5,-95,0,0,0
-40,-55,0,-100,-80,20,-255,1,0,0
5,30,61,-5,76,25,192,1,0,0
12,35,30,-20,-5,-37,15,0,0,0
-15,-15,-105,-65,-115,25,-290,1,0,1
21,-16,5,-37,2,-49,-74,0,0,0
-2,-15,6,-35,-14,-10,-70,0,0,0
5,100,34,10,55,51,255,1,0,0
5,-45,-67,15,-50,-23,-165,0,0,0
45,65,45,-30,10,20,155,1,0,0
-43,-22,-3,-23,43,11,-37,1,0,0
65,32,-83,98,83,20,215,1,0,0
-45,85,-15,40,-80,90,75,1,1,0
-30,13,7,-5,-10,100,75,1,1,0
